Year,SERIES,UNIT_MEASURE,Value
2011-2012,SN_ITK_GROW,,9.9
2011-2012,SN_ITK_GROWW,,4.6
2003,Број потхрањених људи,,0.1
2001,Распрострањеност потхрањености,,3.2
2002,Распрострањеност потхрањености,,3.0
2003,Распрострањеност потхрањености,,2.6
2004,Распрострањеност потхрањености,,2.5
2005,Распрострањеност потхрањености,,2.5
2006,Распрострањеност потхрањености,,2.5
2007,Распрострањеност потхрањености,,2.5
2008,Распрострањеност потхрањености,,2.5
2009,Распрострањеност потхрањености,,2.5
2010,Распрострањеност потхрањености,,2.5
2011,Распрострањеност потхрањености,,2.5
2012,Распрострањеност потхрањености,,2.5
2013,Распрострањеност потхрањености,,2.5
2014,Распрострањеност потхрањености,,2.5
2015,Распрострањеност потхрањености,,2.5
2016,Распрострањеност потхрањености,,2.5
2017,Распрострањеност потхрањености,,2.5
2018,Распрострањеност потхрањености,,2.5
2019,Распрострањеност потхрањености,,2.5
2020,Распрострањеност потхрањености,,2.5
